CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Complain,SatisfactionScore,CardType,PointEarned
15600000,Garrison,674,Spain,Female,38,7,44305.92,3,1,0,22270.98,0,3,SILVER,344
15600001,Willis,643,France,Male,32,3,93202.21,1,1,1,19213.65,0,3,GOLD,393
15600002,Gordon,682,France,Female,26,2,29183.95,2,1,0,134784.55,0,3,GOLD,329
15600003,Yates,726,Germany,Female,32,6,63649.16,1,1,1,74933.99,1,3,PLATINUM,363
15600004,Fox,638,Germany,Male,39,2,63651.83,2,1,1,54803.82,0,3,GOLD,363
15600005,Molina,638,Germany,Male,57,7,104055.01,2,1,1,76704.58,1,1,PLATINUM,204
15600006,Henson,728,Germany,Male,34,5,99933.21,3,1,0,54562.57,0,1,SILVER,199
15600007,Barker,688,Spain,Male,42,4,84158.91,1,0,1,78465.01,0,3,PLATINUM,384
15600008,Lindsey,626,Germany,Female,39,3,32161.82,2,0,1,130337.9,0,3,SILVER,332
15600009,Le,677,Germany,Female,51,7,105541.05,2,1,0,92922.19,1,3,SILVER,405
15600010,Martin,626,Germany,Male,65,7,225620.38,2,0,0,107251.53,0,2,SILVER,425
15600011,Cox,626,France,Female,34,0,52270.17,2,1,1,61053.89,0,4,SILVER,452
15600012,Alexander,662,Spain,Female,35,8,39150.64,2,1,0,113390.82,0,4,GOLD,439
15600013,Warren,554,France,Female,50,4,103279.69,1,1,0,103326.39,0,5,PLATINUM,603
15600014,Conley,563,Germany,Female,46,3,154513.73,1,1,0,26738.68,0,3,SILVER,454
15600015,Nicholson,621,Spain,Male,58,5,28950.77,1,1,0,90170.0,1,4,PLATINUM,428
15600016,Jimenez,599,France,Male,45,5,122754.64,1,1,1,45944.09,0,4,PLATINUM,522
15600017,Chen,665,Spain,Female,36,1,39601.0,4,1,0,122573.39,0,3,DIAMOND,339
15600018,Coffey,604,Spain,Male,45,7,127663.63,2,0,1,69631.28,0,3,SILVER,427
15600019,Chaney,579,France,Male,51,6,75312.0,4,1,1,149255.78,0,5,GOLD,575
15600020,Howell,723,France,Male,48,0,0.0,1,1,1,22950.06,0,3,DIAMOND,300
15600021,Harper,638,Spain,Female,45,4,118478.88,3,1,1,119248.7,0,3,PLATINUM,418
15600022,Hoover,653,Spain,Female,50,5,118057.24,3,1,1,104318.24,0,2,GOLD,318
15600023,Cervantes,578,Germany,Female,51,3,71045.98,2,0,0,117449.84,0,2,SILVER,271
15600024,Sampson,622,Spain,Male,53,1,68082.81,2,1,1,53054.17,0,4,SILVER,468
15600025,Roth,655,Germany,Female,46,3,34431.36,1,1,1,78887.63,0,3,GOLD,334
15600026,Ferguson,592,Spain,Female,38,0,90880.22,3,1,1,121511.19,0,3,PLATINUM,390
15600027,Garza,668,Spain,Male,41,6,144110.79,2,1,1,42555.79,1,2,SILVER,344
15600028,Pratt,619,Germany,Female,52,1,56047.46,1,1,0,41644.65,1,3,GOLD,356
15600029,Barber,635,Spain,Female,31,1,78654.62,1,1,0,87147.13,1,3,GOLD,378
15600030,Burke,619,France,Male,43,8,96835.54,3,1,1,83298.9,0,2,GOLD,296
15600031,Bowman,742,France,Male,36,4,14943.67,3,1,0,49516.75,0,4,PLATINUM,414
15600032,Ruiz,649,Germany,Male,40,1,88422.03,4,1,1,51730.59,0,1,PLATINUM,188
15600033,Holloway,597,Spain,Female,52,10,52829.22,2,0,0,48898.32,0,3,GOLD,352
15600034,Palmer,691,Germany,Female,41,8,115189.02,1,1,0,118011.69,0,3,DIAMOND,415
15600035,Mcbride,588,France,Female,40,8,49768.12,1,1,0,101266.12,0,2,SILVER,249
15600036,Vaughan,660,France,Male,26,0,8460.6,1,1,0,126538.41,0,4,SILVER,408
15600037,Cobb,552,France,Male,47,10,183777.37,1,1,1,146566.22,0,4,SILVER,583
15600038,Mata,583,France,Female,46,2,183989.58,1,1,0,76383.0,1,4,SILVER,583
15600039,Lyons,659,Spain,Female,61,3,136744.68,1,1,1,19337.14,0,2,SILVER,336
15600040,Key,686,France,Male,36,6,76563.77,1,1,1,16732.92,1,2,SILVER,276
15600041,Hahn,658,Spain,Male,42,9,34954.91,3,1,0,51393.11,0,2,PLATINUM,234
15600042,Valenzuela,644,Germany,Male,42,3,29989.75,1,0,1,140556.24,0,3,SILVER,329
15600043,Kramer,634,France,Male,55,1,0.0,3,0,1,83249.83,0,4,PLATINUM,400
15600044,Ryan,576,Spain,Female,39,6,92778.1,2,1,1,48050.11,0,4,SILVER,492
15600045,Figueroa,614,Germany,Male,42,5,94858.22,1,0,0,65883.35,1,4,DIAMOND,494
15600046,Howard,626,France,Female,46,2,145460.81,1,0,1,93803.32,1,5,PLATINUM,645
15600047,Owen,702,Spain,Female,41,5,171401.57,1,1,1,101412.95,0,4,SILVER,571
15600048,Stewart,667,Germany,Female,35,10,56349.23,1,1,0,31548.73,0,3,PLATINUM,356
15600049,Sullivan,561,Germany,Male,41,5,107298.08,2,1,0,146784.43,1,2,GOLD,307
15600050,Jarvis,666,France,Male,50,4,76783.98,1,0,1,86268.11,0,3,PLATINUM,376
15600051,Horton,630,Germany,Male,29,3,39305.85,1,1,0,28996.36,1,2,GOLD,239
15600052,Li,616,Spain,Male,41,9,136423.5,1,0,1,135108.94,0,1,PLATINUM,236
15600053,Cohen,680,France,Female,32,0,55678.64,4,1,0,20449.38,0,3,PLATINUM,355
15600054,Cooley,701,Spain,Male,51,9,84049.62,2,1,1,137082.96,0,4,GOLD,484
15600055,Bruce,696,Germany,Male,24,5,64578.87,2,1,1,149519.19,0,2,SILVER,264
15600056,Cook,608,Spain,Female,34,1,60475.18,1,1,0,108060.45,0,4,PLATINUM,460
15600057,Turner,634,France,Male,43,2,65366.92,2,0,0,117862.61,0,4,GOLD,465
15600058,Weaver,666,Spain,Female,55,7,96673.57,2,1,1,57222.4,0,3,GOLD,396
15600059,Wilkinson,698,France,Female,39,9,23824.54,2,1,1,141820.76,0,1,SILVER,123
15600060,Oneill,626,France,Female,34,5,21205.16,4,1,1,84159.96,0,2,GOLD,221
15600061,Snow,640,France,Female,58,2,88035.16,1,0,0,112534.38,0,4,DIAMOND,488
15600062,Ford,594,France,Female,25,6,64109.67,3,1,0,139375.08,0,4,SILVER,464
15600063,Hudson,590,France,Female,18,3,0.0,3,1,0,146525.2,0,4,GOLD,400
15600064,Whitaker,690,France,Female,44,8,152652.87,1,1,1,126648.61,0,3,PLATINUM,452
15600065,Day,717,Spain,Female,34,4,106413.05,1,1,0,52422.45,1,2,PLATINUM,306
15600066,Terry,646,France,Male,29,2,28522.49,4,1,0,145316.65,1,2,GOLD,228
15600067,Zamora,700,France,Male,47,1,45234.92,1,1,1,97936.73,0,4,GOLD,445
15600068,Malone,668,Germany,Male,42,10,91560.16,2,1,1,140289.95,0,2,DIAMOND,291
15600069,Abbott,617,Spain,Male,34,1,68849.21,4,1,0,104654.7,1,3,PLATINUM,368
15600070,Dixon,668,Spain,Female,27,2,15019.73,2,1,0,53013.45,1,3,SILVER,315
15600071,Santana,726,France,Male,48,1,55443.35,1,1,1,61803.43,0,1,SILVER,155
15600072,Harrell,648,France,Female,46,3,46844.55,2,1,1,87066.05,0,2,GOLD,246
15600073,Sherman,728,France,Male,39,1,87071.35,1,1,0,120602.08,0,3,SILVER,387
15600074,Davis,519,France,Male,58,9,87079.96,2,1,1,54517.56,0,2,SILVER,287
15600075,Kaufman,691,France,Male,29,8,39828.64,1,1,1,91162.36,0,2,DIAMOND,239
15600076,Payne,654,France,Female,24,1,2221.97,2,1,0,58387.5,0,4,SILVER,402
15600077,Melton,635,France,Male,33,8,27273.51,2,1,0,124207.72,1,4,PLATINUM,427
15600078,Leblanc,654,France,Female,39,5,35921.8,2,1,1,75341.93,1,2,SILVER,235
15600079,Hawkins,550,Spain,Female,42,0,217779.01,2,1,1,20741.2,0,4,PLATINUM,617
15600080,Lam,639,France,Male,37,3,51786.59,2,0,0,33247.35,0,3,PLATINUM,351
15600081,Hernandez,667,France,Male,43,0,130540.49,2,1,1,18554.65,0,3,SILVER,430
15600082,Dickerson,723,Spain,Male,27,5,55163.64,1,1,1,79902.41,1,4,GOLD,455
15600083,Brandt,624,Spain,Female,54,3,46326.62,2,0,0,24887.22,0,4,SILVER,446
15600084,Farmer,609,France,Male,39,2,37806.13,1,1,1,25979.6,0,4,DIAMOND,437
15600085,Wyatt,624,Germany,Female,51,2,181466.17,3,1,1,141746.76,0,2,DIAMOND,381
15600086,Hatfield,695,Spain,Female,43,8,113194.72,1,0,0,132171.71,0,1,GOLD,213
15600087,Armstrong,666,France,Male,44,5,70476.1,1,1,0,73292.12,0,4,GOLD,470
15600088,Mcdowell,623,Germany,Male,45,8,118721.82,2,1,0,148012.74,0,3,GOLD,418
15600089,Snyder,675,Germany,Female,44,4,101757.39,1,1,1,10026.11,0,2,PLATINUM,301
15600090,Yoder,654,France,Female,46,1,75401.33,1,1,1,95957.12,1,4,GOLD,475
15600091,Mathews,698,France,Female,53,7,30168.56,2,0,0,96299.94,1,4,SILVER,430
15600092,Campos,614,Germany,Male,41,4,171927.12,2,0,1,74042.03,1,4,GOLD,571
15600093,Gonzalez,633,Germany,Female,47,1,110490.91,2,1,1,65572.72,0,3,SILVER,410
15600094,Golden,630,France,Male,39,3,0.0,1,1,1,73753.64,0,4,PLATINUM,400
15600095,Walker,576,France,Female,54,8,147016.08,2,1,0,68094.46,0,1,SILVER,247
